X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-93.27008,44.97975,208,208,256,XCEL ENERGY,414 NICOLLET MALL,NOT AVAILABLE,MINNEAPOLIS,MN,55401,HENNEPIN,11476,11107,44.97975,-93.27008,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.XCELENERGY.COM/STATESELECTOR?STATESELECTED=TRUE&GOTO=%2F,1123.4
-93.27387,44.97559,209,209,125,U.S. BANCORP,800 NICOLLET MALL,SUITE 1500,MINNEAPOLIS,MN,55402,HENNEPIN,71191,22744,44.97559,-93.27387,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.USBANK.COM/INDEX.HTML,5888
-93.27563,44.97396,210,210,38,TARGET,1000 NICOLLET MALL,NOT AVAILABLE,MINNEAPOLIS,MN,55403,HENNEPIN,323000,69495,44.97396,-93.27563,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.TARGET.COM/,2737
-93.26568,44.97476,211,211,316,THRIVENT FINANCIAL FOR LUTHERANS,625 4TH AVENUE SOUTH,NOT AVAILABLE,MINNEAPOLIS,MN,55415,HENNEPIN,3282,8777,44.97476,-93.26568,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.THRIVENT.COM/,587.8
-93.30542,44.86392,212,212,72,BEST BUY,7601 PENN AVENUE SOUTH,NOT AVAILABLE,RICHFIELD,MN,55423,HENNEPIN,125000,39403,44.86392,-93.30542,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.BESTBUY.COM/,1228
-93.39559,44.977,213,213,165,GENERAL MILLS,1 GENERAL MILLS BOULEVARD,NOT AVAILABLE,MINNEAPOLIS,MN,55426,HENNEPIN,39000,16563,44.977,-93.39559,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTPS://WWW.GENERALMILLS.COM/,1697.4
-93.45487,45.01507,214,214,377,MOSAIC,3033 CAMPUS DRIVE,SUITE E490,PLYMOUTH,MN,55441,HENNEPIN,8700,7163,45.01507,-93.45487,BING MAPS,ADDRESS,27053,NOT AVAILABLE,HTTP://WWW.MOSAICCO.COM/,297.8
-77.57726,37.66219,215,215,460,MARKEL,4521 HIGHWOODS PARKWAY,NOT AVAILABLE,GLEN ALLEN,VA,23060,HENRICO,10900,5612,37.66219,-77.57726,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTP://WWW.MARKELCORP.COM/,455.7
-77.64471,37.60589,216,216,171,PERFORMANCE FOOD GROUP,12500 WEST CREEK PARKWAY,NOT AVAILABLE,RICHMOND,VA,23238,HENRICO,13000,16105,37.60589,-77.64471,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTP://WWW.PFGC.COM/,68.3
-77.51729,37.60024,217,217,148,ALTRIA GROUP,6601 WEST BROAD STREET,NOT AVAILABLE,RICHMOND,VA,23230,HENRICO,8300,19337,37.60024,-77.51729,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTP://WWW.ALTRIA.COM/PAGES/DEFAULT.ASPX,14239
